Name,location,location_score,check_in_day,check_in_week,check_out_day,check_out_week,score,price
더 호텔 할리우드 (The Hotel Hollywood),"헐리우드, 로스앤젤레스 (CA) - 지도에서 위치 보기",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.8,"184,504"
호텔 델 플로레스 (Hotel del Flores),"비벌리 힐스, 로스앤젤레스 (CA) - 도심까지 0.9km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,6.1,"151,630"
힐튼 패서디나 호텔 (Hilton Pasadena Hotel),"파사데나, 로스앤젤레스 (CA) - 도심까지 13.3km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.3,"523,049"
"The Wayfarer Downtown LA, Tapestry Collection by Hilton","로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.8,"523,049"
코르토나 인 & 스위트 애너하임 리조트 (Cortona Inn and Suites Anaheim Resort),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.6km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.9,"172,712"
하얏트 리젠시 오렌지 카운티 (Hyatt Regency Orange County),"애너하임, 로스앤젤레스 (CA) - 도심까지 41.4km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.6,"276,052"
윈덤 애너하임 (Wyndham Anaheim),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.4km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.9,"293,378"
안다즈 웨스트 할리우드 (Andaz West Hollywood),"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.7,"503,080"
할리우드 인 스위트 호텔 (Hollywood Inn Suites Hotel),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 13.6km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.9,"207,906"
시티 센터 호텔 로스엔젤레스 (City Center Hotel Los Angeles),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,5.9,"123,478"
마마 쉘터 로스앤젤레스 (Mama Shelter Los Angeles),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,9.0,"252,965"
호돈 플라자 인 LAX (Hawthorne Plaza Inn Near LAX),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 14.8km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.9,"151,740"
오션 파크 호텔 (Ocean Park Hotel),"산타 모니카, 로스앤젤레스 (CA) - 지도에서 위치 보기",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.6,"176,812"
JW 메리어트 로스앤젤레스 L.A. 라이브 (JW Marriott Los Angeles L.A. LIVE),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.8,"176,812"
알라모 인 앤드 스위트 - 컨벤션 센터 (Alamo Inn and Suites - Convention Center),"애너하임, 로스앤젤레스 (CA) - 도심까지 39.6km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.6,"193,853"
Petit Ermitage Hotel - Adults Only,"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.6,"310,958"
듄스 인 윌셔 - 성인 전용 (Dunes Inn Wilshire),"코리아타운, 로스앤젤레스 (CA) - 도심까지 40m",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.9,"218,247"
홀리데이 인 익스프레스 로스앤젤레스 LAX 에어포트 (Holiday Inn Express Los Angeles LAX Airport),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 11.7km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.5,"422,228"
메종 140 (Maison 140),"비벌리 힐스, 로스앤젤레스 (CA) - 도심까지 1.9km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.2,"262,238"
라마다 바이 윈덤 토런스 (Ramada by Wyndham Torrance),"토런스, 로스앤젤레스 (CA) - 도심까지 27.6km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.3,"169,793"
Solara Inn and Suites,"애너하임, 로스앤젤레스 (CA) - 도심까지 39.0km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.4,"139,929"
레지던스 인 로스앤젤레스 L.A. 라이브 (Residence Inn Los Angeles L.A. LIVE),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.5,"807,238"
Skyways Hotel,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 12.4km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.0,"178,388"
소네스타 레돈도 비치 앤 마리나 (Sonesta Redondo Beach & Marina),"비치 시티스, 로스앤젤레스 (CA) - 도심까지 24.1km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.2,"178,388"
Sheraton Los Angeles San Gabriel,"이스트 로스앤젤레스, 로스앤젤레스 (CA) - 도심까지 13.6km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.6,"229,723"
파크 플라자 로지 호텔 (Park Plaza Lodge Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.7,"378,593"
