호텔 이름,위치,check_in_day,check_in_week,check_out_day,check_out_week,가격,평점
Moxy Downtown Los Angeles,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"396,561",9.9
플라자 라 레이나 (Plaza la Reina),"웨스트우드, 로스앤젤레스 (CA) - 도심까지 4.9km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"392,710",8.9
애너하임 아일랜더 인 앤 스위트 (Anaheim Islander Inn and Suites),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.5km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"199,999",8.8
"The Langham Huntington, Pasadena","파사데나, 로스앤젤레스 (CA) - 도심까지 12.6km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"370,893",8.9
호텔 카멜 바이 더 씨 (Hotel Carmel By The Sea),"산타 모니카, 로스앤젤레스 (CA) - 도심까지 11.5km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"399,999",8
하얏트 플레이스 파사데나 (Hyatt Place Pasadena),"파사데나, 로스앤젤레스 (CA) - 도심까지 13.3km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"414,656",8.6
햄튼 인 앤 스위트 로스앤젤레스/글렌데일 CA (Hampton Inn and Suites Los Angeles/Glendale CA),"글렌데일, 로스앤젤레스 (CA) - 도심까지 5.8km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"358,767",9
Waldorf Astoria Beverly Hills,"비벌리 힐스, 로스앤젤레스 (CA) - 도심까지 2.0km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"1,287,474",9.3
페어몬트 미라마르 호텔 앤 방갈로 (Fairmont Miramar Hotel and Bungalows),"산타 모니카, 로스앤젤레스 (CA) - 도심까지 11.6km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"703,414",8.6
Palihotel Westwood Village,"웨스트우드, 로스앤젤레스 (CA) - 도심까지 5.0km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"352,926",8.8
햄튼 인 앤 스위트 애너하임 리조트 컨벤션 센터 (Hampton Inn & Suites Anaheim Resort Convention Center),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.9km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"352,926",9.1
Disneyland Hotel,"애너하임, 로스앤젤레스 (CA) - 도심까지 39.2km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"832,337",8.9
페어필드 인 바이 메리어트 애너하임 리조트 (Fairfield Inn by Marriott Anaheim Resort),"애너하임, 로스앤젤레스 (CA) - 도심까지 39.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"272,074",8.3
시르타즈 호텔 (Sirtaj Hotel),"비벌리 힐스, 로스앤젤레스 (CA) - 도심까지 0.8km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"330,339",8.6
Hyatt Place Glendale/los Angeles,"글렌데일, 로스앤젤레스 (CA) - 도심까지 6.2km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"358,894",8.8
Tropicana Inn and Suites,"애너하임, 로스앤젤레스 (CA) - 도심까지 39.8km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"334,375",9.4
타운플레이스 스위트 애너하임 메인게이트 니어 엔젤 스타디움 (TownePlace Suites Anaheim Maingate Near Angel Stadium),"애너하임, 로스앤젤레스 (CA) - 도심까지 42.1km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"193,031",8.6
더 런던 웨스트 할리우드 앳 비벌리 힐스 (The London West Hollywood at Beverly Hills),"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"653,234",8.9
The Metric - Los Angeles Downtown,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"309,081",9.2
델타 호텔 바이 메리어트 애너하임 가든 그로브 (Delta Hotels by Marriott Anaheim Garden Grove),"애너하임, 로스앤젤레스 (CA) - 도심까지 41.5km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"216,889",8.9
베스트웨스턴 플러스 스토발 인 (Best Western Plus Stovall Inn),"애너하임, 로스앤젤레스 (CA) - 도심까지 39.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"216,889",8.4
더 메이본 비벌리 힐스 (The Maybourne Beverly Hills),"비벌리 힐스, 로스앤젤레스 (CA) - 도심까지 0.8km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"1,250,722",9.3
산타모니카 프로퍼 호텔 (Santa Monica Proper Hotel),"산타 모니카, 로스앤젤레스 (CA) - 도심까지 11.0km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"725,879",8.9
클레멘타인 호텔 앤 스위트 애너하임 (Clementine Hotel & Suites Anaheim),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"257,393",9.3
The Adler a Hollywood Hotel,"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"370,880",8.8
"Beverly Wilshire, A Four Seasons Hotel","비벌리 힐스, 로스앤젤레스 (CA) - 도심까지 1.0km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"1,148,614",9
ITH Surf City Hostel Hermosa Beach,"비치 시티스, 로스앤젤레스 (CA) - 도심까지 22.6km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"78,837",8.2
윌셔 모텔 (Wilshire Motel),"산타 모니카, 로스앤젤레스 (CA) - 도심까지 7.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"205,326",8.2
호텔 어윈 (Hotel Erwin),"베니스 비치, 로스앤젤레스 (CA) - 도심까지 11.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"476,101",8.7
하트포드 호텔 베스트웨스턴 시그니처 컬렉션 (Hartford Hotel Best Western Signature Collection),"이스트 로스앤젤레스, 로스앤젤레스 (CA) - 도심까지 15.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"227,977",8.9
페어필드 인 앤 스위트 에너하임 로스 알라미토스 (Fairfield Inn & Suites Anaheim Los Alamitos),"애너하임, 로스앤젤레스 (CA) - 도심까지 30.6km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"227,977",9.2
SpringHill Suites Los Angeles Downey,"이스트 로스앤젤레스, 로스앤젤레스 (CA) - 도심까지 16.5km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"379,877",9.2
햄튼 인 롱 비치 에어포트 (Hampton Inn Long Beach Airport),"롱비치, 로스앤젤레스 (CA) - 도심까지 25.6km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"307,523",9.1
할리우드 라브레아 인 (Hollywood La Brea Inn),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"153,126",7.4
알파인 인 니어 컨벤션 센터 앤 더 파크 (Alpine Inn near Convention Center and the Park),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.1km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"231,351",8.9
그랜드 레거시 앳 더 파크 (Grand Legacy At The Park),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.0km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"315,129",8.4
테라니아 리조트 (Terranea Resort),"팔로스 버디스, 로스앤젤레스 (CA) - 도심까지 35.0km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"1,067,762",8.5
"리츠칼튼, 마리나 델 레이 (The Ritz-Carlton, Marina del Rey)","마리나 델 레이, 로스앤젤레스 (CA) - 도심까지 10.8km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"576,232",9.2
The Tangerine - a Burbank Hotel,"유니버셜 시티, 로스앤젤레스 (CA) - 도심까지 4.1km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"302,256",9.1
Venice V Hotel,"베니스 비치, 로스앤젤레스 (CA) - 도심까지 11.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"468,429",9.4
미니 맨션 인 할리우드 힐스 (Mini Mansion in Hollywood Hills),"헐리우드, 로스앤젤레스 (CA) - 도심까지 1.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"468,429",8.2
Hyatt House At Anaheim Resort/convention Center,"애너하임, 로스앤젤레스 (CA) - 도심까지 40.3km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"319,559",8.6
호텔 마리포사 로스앤젤레스 (Hotel Mariposa Los Angeles),"버뱅크, 로스앤젤레스 (CA) - 도심까지 7.5km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"326,108",9
베스트웨스턴 플러스 애너하임 인 (Best Western Plus Anaheim Inn),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.0km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"370,893",8.8
워크 오브 페임 호스텔 (Walk Of Fame Hostel),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"65,412",8.3
"선코스트 파크 호텔 애너하임, 태피스트리 컬렉션 바이 힐튼 (SunCoast Park Hotel Anaheim, Tapestry Collection by Hilton)","애너하임, 로스앤젤레스 (CA) - 도심까지 40.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"232,077",9.4
베이사이드 호텔 (Bayside Hotel),"산타 모니카, 로스앤젤레스 (CA) - 지도에서 위치 보기",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"446,263",8.9
오션 뷰 호텔 (Ocean View Hotel),"산타 모니카, 로스앤젤레스 (CA) - 도심까지 11.6km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"446,852",8.6
The Peninsula Beverly Hills,"비벌리 힐스, 로스앤젤레스 (CA) - 도심까지 2.0km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"1,264,117",9.4
애너하임 데저트 인 앤 스위트 (Anaheim Desert Inn & Suites),"애너하임, 로스앤젤레스 (CA) - 도심까지 39.9km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"274,437",8.6
베스트웨스턴 플러스 호텔 앳 더 컨벤션 센터 (Best Western Plus Hotel at the Convention Center),"롱비치, 로스앤젤레스 (CA) - 도심까지 30.5km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"286,448",8.6
Hotel Amarano Burbank-Hollywood,"버뱅크, 로스앤젤레스 (CA) - 도심까지 4.5km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"382,085",9.5
Los Angeles Marriott Burbank Airport,"버뱅크, 로스앤젤레스 (CA) - 도심까지 8.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"271,612",8
Hyatt Place At Anaheim Resort/convention Center,"애너하임, 로스앤젤레스 (CA) - 도심까지 40.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"293,891",8.9
델 솔 인 애너하임 (Del Sol Inn Anaheim),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.0km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"289,939",9.2
호텔 인디고 애너하임 (Hotel Indigo Anaheim),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"241,407",8.6
하얏트 센트릭 더 파이크 롱 비치 (Hyatt Centric The Pike Long Beach),"롱비치, 로스앤젤레스 (CA) - 도심까지 30.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"286,383",9
The Pierside Santa Monica,"산타 모니카, 로스앤젤레스 (CA) - 도심까지 11.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"500,706",7.6
Stillwell Hotel,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"172,891",7.6
Stillwell Hotel,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"172,891",7.6
말리부 비치 인 (Malibu Beach Inn),"말리부, 로스앤젤레스 (CA) - 도심까지 26.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"1,148,614",9
스테이브리지 스위트 애너하임 앳 더 파크 (Staybridge Suites Anaheim At The Park),"애너하임, 로스앤젤레스 (CA) - 도심까지 38.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"254,808",8.6
배가본드 인 글렌데일 (Vagabond Inn Glendale),"글렌데일, 로스앤젤레스 (CA) - 도심까지 5.8km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"221,269",9.1
캐슬 인 앤 스위트 애너하임 (Castle Inn and Suites Anaheim),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.2km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"324,089",8.6
SW Beach Hotel,"비치 시티스, 로스앤젤레스 (CA) - 도심까지 22.6km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"391,555",8.9
워너 센터 메리어트 우드랜드 힐스 (Warner Center Marriott Woodland Hills),"카노가 공원, 로스앤젤레스 (CA) - 도심까지 22.0km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"293,442",8.6
너츠 베리 팜 호텔 (Knott's Berry Farm Hotel),"부에나 파크, 로스앤젤레스 (CA) - 도심까지 31.9km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"289,246",8.5
스프링힐 스위트 로스앤젤레스 버뱅크/다운타운 (SpringHill Suites Los Angeles Burbank/Downtown),"버뱅크, 로스앤젤레스 (CA) - 도심까지 7.6km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"260,524",8.6
소네스타 ES 스위트 채츠워스 (Sonesta ES Suites Chatsworth),"카노가 공원, 로스앤젤레스 (CA) - 도심까지 26.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"309,125",9.1
El Don Motel - Adults Only,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 9.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"309,125",10
데저트 팜 호텔 앤 스위트 (Desert Palms Hotel & Suites),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.2km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"277,515",8.7
"리츠칼튼, 로스앤젤레스 (The Ritz-Carlton, Los Angeles)","로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"1,025,411",8.7
